undirected weighted
48 526 981
48 183 1729
48 118 1926
49 134 1451
49 54 1295
49 51 750
49 956 410
50 15 1538
50 978 1417
50 813 468
50 304 1613
51 637 947
51 972 402
51 269 303
51 988 1005
52 607 938
52 61 1208
52 136 992
52 855 728
53 352 1937
53 897 1951
53 381 526
53 57 1125
54 801 934
54 68 1291
54 202 1447
54 13 564
55 639 599
55 476 1109
55 733 658
55 83 576
56 445 1134
56 13 868
56 302 785
56 265 553
57 138 701
57 898 860
57 263 646
57 105 1148
58 903 404
58 982 1313
58 866 593
58 681 1242
59 270 1415
59 103 1531
59 74 2020
59 537 780
60 427 1386
60 95 1874
60 932 869
60 186 1025
61 669 178
61 735 682
61 103 1736
61 328 1868
62 743 1299
62 267 1362
62 384 1186
62 985 1504
63 231 1435
63 647 645
63 391 1001
63 995 245
64 600 1218
64 491 766
64 989 1027
64 314 1519
65 287 311
65 440 804
65 475 1915
65 456 1260
66 778 606
66 706 1474
66 430 521
66 589 1306
67 789 1244
67 377 1507
67 539 1333
67 581 902
68 832 1095
68 812 887
68 705 1883
68 615 1696
69 705 2324
69 191 2248
69 888 1262
69 40 497
70 941 1428
70 267 1584
70 768 604
70 522 1304
71 930 1321
71 302 1049
71 378 421
71 861 1059
72 940 1944
72 630 1355
72 198 608
72 916 1282
73 616 1233
73 127 1030
73 432 779
73 812 1496
74 178 1103
74 745 1238
74 631 1187
74 555 942
75 820 548
75 522 1181
75 214 858
75 219 745
76 248 1277
76 938 1716
76 900 1304
76 556 1080
77 917 270
77 420 801
77 47 1124
77 660 1582
78 592 2073
78 658 820
78 776 1815
78 799 352
79 58 541
79 420 1108
79 317 575
79 473 569
80 955 1199
80 958 1664
80 834 1906
80 119 914
81 210 286
81 418 1426
81 534 1209
81 224 1155
82 9 1183
82 992 302
82 244 1069
82 342 1401
83 743 1216
83 612 1009
83 227 891
83 154 837
84 59 1499
84 648 1488
84 950 1135
84 339 1765
85 688 1525
85 564 1086
85 815 988
85 805 230
86 507 1101
86 457 1361
86 352 1826
86 802 1678
87 870 1858
87 770 1325
87 696 273
87 800 1802
88 107 657
88 588 1054
88 779 807
88 894 598
89 640 726
89 622 1507
89 813 1179
89 491 437
90 784 588
90 239 1738
90 733 376
90 563 299
91 618 1480
91 52 991
91 476 1646
91 444 922
92 265 887
92 825 1974
92 839 280
92 569 636
93 402 1433
93 376 891
93 55 727
93 602 1113
94 494 2255
94 350 1442
94 483 1395
94 833 672
95 558 1583
95 5 890
95 760 1732
95 517 589
96 300 1178
96 598 1564
96 727 384
96 102 1475
97 606 1154
97 154 1226
97 327 1264
97 245 1024
98 461 399
98 633 1938
98 766 564
98 726 2230
99 892 222
99 739 890
99 878 387
99 515 1549
100 448 668
100 188 1212
100 528 563
100 561 466
101 489 569
101 226 208
101 456 1688
101 820 708
102 881 865
102 432 1486
102 960 1673
102 416 1673
103 217 1077
103 430 207
103 444 1186
103 432 1761
104 176 1448
104 5 588
104 88 838
104 808 1859
105 613 1742
105 176 322
105 210 1838
105 94 1215
106 87 955
106 494 1895
106 790 1340
106 113 1497
107 269 772
107 821 234
107 684 717
107 357 1002
108 418 1706
108 527 674
108 753 986
108 235 911
109 484 1219
109 769 172
109 974 462
109 519 945
110 309 1087
110 164 1026
110 741 922
110 685 673
111 909 1196
111 62 1470
111 613 707
111 624 729
112 262 790
112 31 922
112 138 1796
112 487 1484
113 146 1454
113 292 316
113 314 1751
113 595 1774
114 4 730
114 271 1715
114 489 1817
114 64 1594
115 134 1969
115 35 1747
115 384 606
115 346 793
116 174 361
116 935 1559
116 231 575
116 460 581
117 608 794
117 874 1405
117 246 1621
117 293 875
118 514 1179
118 515 802
118 172 1788
118 219 280
119 454 1642
119 875 1642
119 614 1685
119 65 935
120 961 479
120 375 1506
120 377 1275
120 534 1844
121 779 1067
121 310 1020
121 13 1364
121 410 1064
122 605 1740
122 882 1843
122 227 2088
122 548 938
123 216 1724
123 836 1451
123 713 280
123 720 1241
124 921 670
124 48 1166
124 346 904
124 212 1141
125 554 2099
125 295 1411
125 149 1587
125 191 2471
126 853 927
126 280 761
126 595 310
126 798 1743
127 470 939
127 531 303
127 975 733
127 762 406
128 273 1151
128 192 1743
128 706 888
128 523 1237
129 688 299
129 540 897
129 957 1544
129 456 1484
130 513 717
130 821 1217
130 426 966
130 960 778
131 221 707
131 226 630
131 940 1239
131 40 1166
132 985 2068
132 253 669
132 523 1970
132 350 200
133 986 1318
133 357 1128
133 785 1582
133 761 690
134 537 762
134 742 381
134 776 1087
134 862 531
135 442 965
135 466 994
135 769 224
135 824 1023
136 812 1068
136 992 1305
136 60 575
136 191 1950
137 810 931
137 35 1225
137 28 1533
137 93 344
138 363 1110
138 340 1363
138 121 1108
138 627 1220
139 731 1054
139 357 1632
139 658 916
139 511 1482
140 788 917
140 7 1898
140 200 1704
140 994 2404
141 114 1003
141 233 768
141 56 582
141 476 771
142 550 1087
142 186 129
142 370 994
142 110 863
143 892 1593
143 51 696
143 192 800
143 929 1800
144 637 302
144 930 1346
144 298 1303
144 738 1347
145 787 1013
145 783 1118
145 101 2062
145 160 1142
146 688 326
146 893 683
146 973 969
146 219 1619
147 505 905
147 729 691
147 648 1490
147 399 1169
148 56 1263
148 53 2121
148 928 1787
148 616 1306
149 430 1147
149 194 901
149 967 695
149 687 761
150 522 179
150 546 951
150 398 128
150 488 1381
151 931 413
151 596 872
151 740 760
151 331 534
152 646 977
152 930 622
152 664 1297
152 438 1434
153 452 395
153 338 671
153 353 1784
153 596 469
154 978 846
154 300 1225
154 686 1073
154 85 1437
155 756 1423
155 192 2510
155 985 863
155 959 1728
156 127 584
156 907 323
156 70 963
156 935 1175
157 456 534
157 82 661
157 299 1040
157 131 608
158 227 1869
158 859 1038
158 790 1483
158 364 1336
159 76 1023
159 765 1217
159 182 1626
159 887 635
160 802 617
160 68 727
160 956 760
160 709 971
161 134 548
161 533 930
161 825 1842
161 687 1637
162 329 985
162 238 440
162 339 1590
162 877 1617
163 543 1012
163 853 344
163 237 1852
163 307 2019
164 910 810
164 701 1577
164 689 1103
164 564 930
165 323 694
165 959 725
165 743 868
165 565 219
166 920 907
166 522 1630
166 50 1924
166 3 1459
167 948 636
167 310 513
167 860 803
167 72 1215
168 708 405
168 151 1358
168 716 564
168 357 1586
169 963 894
169 715 1386
169 155 1030
169 292 1314
170 600 1970
170 375 823
170 711 443
170 151 1009
171 635 877
171 431 1118
171 480 643
171 663 1495
172 738 1141
172 908 604
172 301 1098
172 57 924
173 579 900
173 510 1129
173 6 187
173 559 211
174 127 907
174 204 1443
174 616 1115
174 295 799
175 692 609
175 496 1730
175 215 1729
175 364 1110
176 437 956
176 619 1171
176 127 1195
176 581 398
177 166 1314
177 322 1483
177 922 1196
177 451 1217
178 231 1206
178 709 1026
178 764 414
178 280 247
179 619 1329
179 192 1675
179 93 1425
179 302 1255
180 645 578
180 380 1365
180 573 612
180 701 764
181 580 2090
181 213 1001
181 515 914
181 625 582
182 282 358
182 380 1579
182 443 402
182 485 622
183 158 1587
183 996 1484
183 78 1768
183 447 573
184 19 1335
184 677 1150
184 813 930
184 252 1382
185 77 438
185 44 1093
185 996 348
185 787 930
186 469 932
186 703 731
186 779 615
186 408 545
187 169 1351
187 587 1108
187 278 1376
187 430 347
188 276 1342
188 897 801
188 600 1514
188 988 1485
189 514 413
189 287 271
189 856 463
189 356 384
190 535 2052
190 29 1164
190 720 1614
190 629 1580
191 776 1640
191 724 1712
191 144 1398
191 104 998
192 849 1401
192 959 976
192 475 2712
192 773 1354
193 2 1382
193 203 747
193 425 1649
193 772 1495
194 122 1195
194 102 1292
194 792 754
194 869 541
195 99 951
195 969 1808
195 284 1013
195 706 854
196 393 1057
196 44 1646
196 808 764
196 676 98
197 686 443
197 492 951
197 446 1301
197 278 1081
198 689 1737
198 235 883
198 748 1781
198 472 2094
199 500 700
199 478 1195
199 295 1276
199 329 765
200 21 1260
200 370 511
200 814 501
200 596 313
201 485 373
201 362 538
201 798 1543
201 840 1520
202 417 537
202 640 1537
202 158 694
202 869 770
203 989 584
203 719 486
203 649 1218
203 127 779
204 983 884
204 948 1134
204 573 1940
204 847 567
205 701 741
205 708 731
205 844 1886
205 952 1750
206 702 1718
206 321 923
206 768 1607
206 152 1726
207 976 222
207 13 1115
207 480 618
207 65 303
208 581 222
208 376 1323
208 221 451
208 269 516
209 321 604
209 910 1462
209 369 1290
209 525 1322
210 557 585
210 67 1557
210 697 1057
210 470 1250
211 958 1225
211 652 2025
211 491 1183
211 776 1750
212 646 1401
212 436 434
212 995 1749
212 544 2143
213 251 1144
213 348 271
213 350 1005
213 199 1547
214 481 1525
214 150 1950
214 441 2203
214 373 2101
215 248 1911
215 2 1051
215 419 884
215 702 1690
216 488 1300
216 543 1212
216 239 1590
216 833 433
217 924 289
217 959 578
217 981 339
217 546 891
218 258 1870
218 741 2153
218 220 1758
218 145 1916
219 757 1592
219 154 1672
219 716 724
219 914 1233
220 226 1622
220 518 1609
220 323 456
220 948 643
221 996 1171
221 385 1225
221 616 728
221 267 1383
222 48 1671
222 805 1123
222 395 1863
222 143 1772
223 687 1648
223 587 113
223 43 1258
223 940 1869
224 483 724
224 922 433
224 705 1383
224 292 464
225 215 1822
225 860 978
225 459 812
225 226 2116
226 126 480
226 28 830
226 46 613
226 241 1171
227 264 930
227 894 1535
227 326 454
227 437 523
228 248 665
228 536 367
228 314 446
228 3 1050
229 375 825
229 499 784
229 582 687
229 178 841
230 72 890
230 582 1706
230 544 796
230 207 848
231 29 968
231 591 639
231 321 882
231 80 1443
232 551 784
232 316 1216
232 15 1110
232 71 835
233 943 252
233 342 1535
233 61 2001
233 390 1138
234 155 1648
234 17 1456
234 239 1032
234 818 864
235 739 961
235 499 597
235 441 2005
235 754 728
236 524 1036
236 233 838
236 338 2006
236 793 771
237 308 1126
237 108 730
237 815 1497
237 615 1404
238 34 1176
238 906 366
238 594 637
238 318 1212
239 820 532
239 305 1317
239 179 250
239 393 881
240 746 405
240 267 1014
240 960 1140
240 74 1266
241 969 1639
241 178 1144
241 400 1485
241 18 1723
242 875 1514
242 259 796
242 679 1260
242 423 876
243 251 1385
243 442 731
243 848 1089
243 764 1096
244 500 771
244 342 545
244 181 656
244 880 765
245 272 1573
245 393 1433
245 291 1535
245 601 1351
246 318 1110
246 714 1194
246 434 1874
246 822 302
247 863 468
247 546 1161
247 107 1176
247 911 954
248 300 1543
248 895 1408
248 446 894
248 648 1333
249 354 1697
249 218 382
249 777 659
249 707 1673
250 590 1203
250 632 555
250 979 1077
250 657 883
251 887 1176
251 289 1096
251 442 1032
251 532 1375
252 517 1127
252 546 1528
252 673 1144
252 697 698
253 183 1508
253 425 190
253 507 1447
253 482 1325
254 675 1792
254 823 165
254 983 1928
254 895 1196
255 392 380
255 536 678
255 498 520
255 339 1814
256 247 564
256 311 524
256 465 697
256 190 534
257 268 468
257 675 965
257 272 590
257 387 829
258 772 409
258 652 1588
258 499 355
258 611 615
259 727 799
259 804 633
259 399 693
259 284 434
260 936 1669
260 254 966
260 584 1014
260 941 1446
261 833 943
261 670 624
261 840 1087
261 845 1071
262 856 1391
262 284 878
262 19 1957
262 683 1679
263 714 753
263 135 674
263 34 1291
263 118 1104
264 180 566
264 983 1357
264 382 907
264 639 1408
265 390 433
265 368 1500
265 675 1209
265 416 297
266 281 1403
266 835 623
266 141 368
266 637 1062
267 548 916
267 615 453
267 63 1211
267 128 819
268 87 615
268 654 663
268 716 330
268 42 1285
269 41 1190
269 226 1056
269 229 732
269 638 787
270 610 673
270 613 239
270 696 1621
270 327 1391
271 524 814
271 387 548
271 108 1416
271 602 1926
272 213 1554
272 509 1665
272 268 944
272 700 637
273 873 877
273 885 536
273 490 1051
273 677 202
274 554 900
274 67 2231
274 518 1839
274 620 1292
275 183 840
275 669 565
275 872 848
275 152 766
276 483 1098
276 271 1752
276 268 626
276 106 1320
277 722 799
277 128 605
277 54 583
277 997 1369
278 48 1653
278 578 341
278 550 976
278 171 883
279 540 936
279 141 804
279 167 116
279 265 164
280 15 1194
280 179 1082
280 740 571
280 130 634
281 712 782
281 877 1588
281 259 738
281 759 1238
282 373 1730
282 547 799
282 914 759
282 537 632
283 303 1319
283 634 1508
283 449 1163
283 611 1304
284 542 1252
284 317 213
284 804 408
284 981 871
285 161 1345
285 825 1746
285 524 1674
285 455 633
286 769 2209
286 752 179
286 31 1955
286 287 1678
287 159 279
287 320 1199
287 699 529
287 455 385
288 522 1548
288 758 469
288 674 657
288 851 1713
289 150 775
289 225 641
289 160 639
289 308 310
290 704 964
290 578 1138
290 236 403
290 342 899
291 262 1934
291 539 1301
291 921 1459
291 699 741
292 601 1057
292 802 640
292 951 815
292 315 484
293 201 626
293 506 679
293 617 700
293 555 790
294 178 1338
294 267 265
294 476 930
294 207 1281
295 316 554
295 195 683
295 709 244
295 698 964
296 617 398
296 891 734
296 170 2049
296 995 1367
297 518 744
297 922 1114
297 915 849
297 334 1525
298 195 760
298 265 672
298 314 1490
298 909 1264
299 252 1758
299 4 817
299 943 822
299 911 719
300 479 1540
300 256 1428
300 418 2272
300 791 1893
301 27 730
301 748 1365
301 34 1154
301 295 1041
302 468 1301
302 236 531
302 858 532
302 481 1035
303 895 1329
303 566 853
303 916 511
303 214 1622
304 181 1335
304 671 1070
304 60 1332
304 5 1001
305 67 1774
305 672 1261
305 89 1249
305 564 1714
306 215 2093
306 440 1188
306 545 1217
306 858 946
307 243 1293
307 684 1132
307 663 1464
307 109 1837
308 201 1104
308 1 1313
308 665 1073
308 85 1166
309 126 1901
309 876 1653
309 933 1530
309 796 1452
310 618 1501
310 689 1648
310 642 1459
310 869 1753
311 770 629
311 734 1449
311 229 734
311 46 862
312 982 889
312 98 1955
312 152 1285
312 882 190
313 257 216
313 532 276
313 78 897
313 684 1169
314 887 1250
314 149 522
314 771 875
314 137 1315
315 961 1314
315 866 1131
315 953 380
315 167 1249
316 983 2168
316 257 973
316 765 497
316 633 1082
317 203 975
317 378 884
317 110 301
317 860 646
318 135 1396
318 72 532
318 594 848
318 293 428
319 410 1475
319 2 915
319 190 1654
319 586 629
320 718 682
320 217 1472
320 960 1008
320 192 2000
321 939 792
321 639 849
321 560 1013
321 784 334
322 344 1707
322 842 1162
322 645 995
322 918 1020
323 262 574
323 643 384
323 162 678
323 492 531
324 970 1106
324 221 1082
324 33 790
324 525 1047
325 966 1185
325 965 864
325 26 1677
325 157 617
326 253 1280
326 113 1966
326 717 1644
326 790 492
327 580 1811
327 898 1252
327 115 171
327 431 1954
328 69 1745
328 193 1516
328 179 1685
328 357 170
329 142 370
329 759 706
329 592 1398
329 61 1343
330 783 1317
330 65 1016
330 835 241
330 91 1425
331 476 582
331 804 352
331 765 1477
331 599 579
332 878 300
332 365 951
332 578 604
332 711 883
333 810 1240
333 207 1549
333 59 1332
333 584 1137
334 96 427
334 100 832
334 861 1896
334 433 442
335 176 1229
335 528 350
335 512 821
335 555 1184
336 567 1592
336 729 1585
336 395 1668
336 874 1059
337 900 578
337 594 1027
337 818 624
337 349 796
338 886 1545
338 399 706
338 536 811
338 387 1850
339 673 546
339 216 1994
339 117 747
339 553 184
340 52 697
340 982 733
340 224 1052
340 597 1511
341 115 1630
341 17 761
341 866 1413
341 735 595
342 794 1926
342 283 1594
342 248 187
342 58 236
343 673 1190
343 808 584
343 294 1668
343 976 849
344 749 1226
344 984 1096
344 829 1256
344 381 1352
345 259 808
345 859 1349
345 443 1284
345 182 1532
346 482 1514
346 535 1698
346 61 2101
346 572 457
347 305 1980
347 942 1532
347 482 1102
347 529 1413
348 329 729
348 799 857
348 7 732
348 273 837
349 176 474
349 442 383
349 609 366
349 743 791
350 850 1528
350 855 1289
350 311 2071
350 779 1458
351 236 106
351 718 1181
351 576 661
351 873 1545
352 627 532
352 702 1479
352 312 1483
352 371 1107
353 868 1874
353 673 1286
353 12 1364
353 341 1879
354 162 1119
354 690 278
354 998 1465
354 907 769
355 689 1094
355 117 1639
355 751 1783
355 990 905
356 470 488
356 730 834
356 191 2193
356 851 1323
357 555 298
357 134 1170
357 315 378
357 193 1421
358 55 710
358 770 981
358 241 1360
358 982 956
359 476 1157
359 339 1536
359 928 1099
359 246 1057
360 496 1942
360 688 219
360 930 299
360 248 519
361 335 559
361 108 724
361 336 924
361 743 747
362 159 1190
362 590 1123
362 689 1188
362 514 1237
363 686 317
363 914 263
363 592 1415
363 262 941
364 452 591
364 310 465
364 853 701
364 286 1495
365 343 1373
365 157 867
365 247 324
365 462 1112
366 364 1145
366 701 1184
366 602 844
366 524 740
367 934 404
367 619 928
367 44 1334
367 130 1644
368 567 450
368 581 882
368 420 525
368 934 874
369 806 444
369 926 659
369 534 305
369 712 1333
370 708 159
370 764 553
370 903 835
370 87 672
371 551 580
371 833 1516
371 475 924
371 168 842
372 610 1125
372 337 992
372 77 1584
372 266 1395
373 522 354
373 148 1827
373 854 1097
373 360 340
374 269 1260
374 147 1771
374 426 886
374 402 1891
375 374 376
375 579 926
375 438 1004
375 745 170
376 910 2033
376 665 1699
376 197 894
376 351 378
377 594 1192
377 114 1430
377 980 1230
377 474 592
378 566 992
378 530 546
378 499 1267
378 282 423
379 424 915
379 386 1805
379 803 232
379 48 1710
380 505 1873
380 455 1293
380 245 1144
380 156 1129
381 718 1109
381 82 607
381 622 2022
381 145 1871
382 175 834
382 631 1225
382 704 430
382 496 1128
383 160 1121
383 774 712
383 682 237
383 361 955
384 278 1636
384 628 1246
384 872 539
384 603 282
385 877 861
385 250 380
385 573 1461
385 117 396
386 57 1130
386 701 214
386 22 398
386 44 641
387 95 823
387 603 1715
387 554 354
387 78 376
388 149 756
388 863 1035
388 893 289
388 807 767
389 602 1015
389 777 738
389 108 967
389 331 1082
390 482 775
390 67 1446
390 328 759
390 388 1492
391 81 1236
391 758 627
391 371 1446
391 651 1034
392 395 616
392 62 541
392 997 1824
392 16 1226
393 268 858
393 660 1925
393 314 1038
393 617 873
394 519 1332
394 590 1344
394 346 1249
394 642 1835
395 908 1893
395 588 1273
395 54 603
395 251 917
396 939 1940
396 684 181
396 29 1996
396 887 867
397 597 1967
397 676 354
397 532 748
397 830 1911
398 425 222
398 349 679
398 876 1112
398 701 132
399 791 1034
399 451 1967
399 491 1057
399 425 1286
400 438 643
400 387 1544
400 221 303
400 687 551
401 190 302
401 715 1220
401 991 1417
401 957 1195
402 237 1971
402 356 816
402 743 1589
402 981 1247
403 749 1351
403 657 723
403 870 1735
403 632 403
404 338 1062
404 339 854
404 633 879
404 455 310
405 26 758
405 150 950
405 45 706
405 781 808
406 619 572
406 507 869
406 889 1283
406 880 1958
407 234 523
407 454 868
407 655 622
407 20 549
408 890 421
408 788 790
408 906 800
408 599 866
409 137 711
409 544 1892
409 324 1323
409 198 117
410 50 1218
410 196 1366
410 80 1397
410 8 950
411 719 427
411 619 562
411 587 627
411 273 1147
412 290 1120
412 877 2012
412 719 1336
412 257 1533
413 490 612
413 70 2256
413 596 1734
413 189 1326
414 734 518
414 21 908
414 879 173
414 959 429
415 750 1514
415 669 1002
415 909 988
415 235 1986
416 620 793
416 440 899
416 157 803
416 995 1524
417 688 894
417 838 818
417 665 902
417 72 618
418 363 1360
418 785 2224
418 296 191
418 753 1755
419 719 1021
419 512 1061
419 885 1907
419 126 524
420 319 327
420 712 1610
420 98 431
420 733 193
421 574 1907
421 727 1122
421 230 1648
421 161 1273
422 373 1679
422 228 728
422 276 1006
422 704 694
423 458 422
423 541 970
423 268 1308
423 163 499
424 346 1611
424 545 1392
424 692 1571
424 42 1649
425 713 1613
425 729 840
425 780 1735
425 124 1202
426 347 893
426 602 913
426 319 963
426 843 551
427 211 1136
427 927 189
427 13 1796
427 658 796
428 909 485
428 192 1570
428 301 1254
428 218 206
429 151 989
429 535 1819
429 522 1416
429 427 1283
430 322 599
430 563 613
430 306 1535
430 269 778
431 748 952
431 980 1627
431 223 963
431 712 586
432 13 190
432 692 2000
432 128 875
432 412 1804
433 165 687
433 970 146
433 428 1177
433 899 792
434 774 1051
434 856 1529
434 426 875
434 336 1580
435 606 1224
435 94 1733
435 955 1062
435 440 1558
436 213 1433
436 621 810
436 262 1642
436 456 517
437 459 1342
437 334 1586
437 88 835
437 907 894
438 115 1582
438 349 1066
438 247 252
438 922 1597
439 225 607
439 786 1740
439 666 893
439 593 723
440 915 1635
440 224 1710
440 986 1491
440 430 1303
441 113 1895
441 3 1223
441 789 2018
441 506 1405
442 641 582
442 386 911
442 746 546
442 443 840
443 553 176
443 920 798
443 189 1184
443 219 1052
444 180 613
444 989 1575
444 247 1426
444 139 225
445 505 579
445 751 1327
445 384 369
445 175 500
446 236 1304
446 298 1394
446 160 633
446 90 1336
447 966 152
447 335 201
447 580 1227
447 723 688
448 110 1261
448 35 229
448 46 647
448 257 700
449 489 1762
449 741 654
449 85 1262
449 849 564
450 164 816
450 704 454
450 831 796
450 387 1182
451 699 1446
451 406 1199
451 533 956
451 913 2339
452 615 1430
452 584 1537
452 250 1272
452 572 1675
453 229 1153
453 63 445
453 838 696
453 848 1274
454 12 718
454 196 1790
454 267 1386
454 784 1187
455 864 1074
455 825 1140
455 193 782
455 405 139
456 537 703
456 389 1470
456 401 262
456 428 1606
457 843 397
457 845 1501
457 575 496
457 305 1494
458 548 809
458 700 1607
458 412 452
458 236 715
459 644 519
459 243 708
459 401 540
459 621 601
460 733 808
460 271 947
460 440 1294
460 611 375
461 214 1353
461 764 1324
461 393 1313
461 383 1776
462 201 1484
462 588 82
462 401 1756
462 145 574
463 882 257
463 688 1401
463 164 994
463 995 1284
464 655 1369
464 878 753
464 450 1018
464 562 1274
465 194 1096
465 250 1176
465 475 1258
465 255 1567
466 677 982
466 200 582
466 113 851
466 51 434
467 957 1458
467 50 677
467 343 1423
467 445 533
468 582 203
468 733 1934
468 172 1755
468 384 1701
469 793 839
469 931 162
469 297 626
469 768 1090
470 944 1519
470 995 329
470 972 91
470 770 827
471 114 1154
471 77 1284
471 336 1493
471 845 915
472 433 1865
472 744 731
472 870 540
472 956 1628
473 976 589
473 462 1002
473 387 1330
473 534 1434
474 38 1645
474 345 682
474 464 222
474 8 1579
475 773 1399
475 672 1272
475 110 1968
475 763 885
476 7 749
476 584 395
476 117 483
476 435 393
477 372 1645
477 916 1082
477 159 1377
477 316 1367
478 448 1876
478 166 1485
478 29 1669
478 923 1777
479 230 1284
479 997 1528
479 457 1116
479 780 185
480 673 1276
480 89 920
480 737 1276
480 473 891
481 702 1822
481 58 1647
481 610 1059
481 932 1024
482 539 637
482 509 1293
482 61 768
482 516 959
483 699 704
483 980 402
483 873 1272
483 438 1150
484 589 557
484 246 1297
484 995 977
484 233 500
485 939 676
485 806 1127
485 344 945
485 799 1036
486 677 824
486 796 1634
486 833 1201
486 951 253
487 986 1336
487 736 1579
487 947 844
487 938 805
488 682 1021
488 431 459
488 702 774
488 529 363
489 462 1370
489 405 913
489 337 783
489 921 1533
490 94 1653
490 167 1590
490 933 973
490 605 1586
491 321 305
491 11 1268
491 893 647
491 842 984
492 576 615
492 919 789
492 180 322
492 28 920
493 113 806
493 379 1437
493 642 1166
493 416 1813
494 196 850
494 553 1882
494 970 1646
494 424 1936
495 144 920
495 525 314
495 740 436
495 928 1156
496 244 1426
496 592 108
496 580 1892
496 966 1029
497 883 522
497 309 1343
497 121 1037
497 960 1234
498 708 1184
498 853 742
498 491 1399
498 856 805
499 956 551
499 862 1107
499 199 437
499 169 996
500 222 510
500 875 1125
500 712 805
500 848 1370
501 386 1819
501 706 358
501 682 1268
501 239 120
502 606 1208
502 492 1014
502 459 236
502 105 1625
503 269 1105
503 708 1778
503 691 1074
503 753 749
504 934 1556
504 556 222
504 46 1680
504 790 980
505 834 868
505 618 1702
505 879 913
505 4 1496
506 254 1718
506 397 644
506 54 1432
506 805 1438
507 373 1744
507 631 1618
507 232 777
507 769 1496
508 571 1813
508 850 1751
508 456 498
508 710 1898
509 68 385
509 493 437
509 616 534
509 487 1335
510 74 1623
510 337 179
510 429 1784
510 336 970
511 244 944
511 11 1643
511 710 487
511 25 1632
512 328 1720
512 168 742
512 1000 683
512 681 1312
513 221 765
513 474 734
513 853 1291
513 167 481
514 389 202
514 24 1202
514 308 634
514 965 1527
515 952 1598
515 975 931
515 604 777
515 859 1158
516 224 975
516 150 1917
516 898 1910
516 796 178
517 569 1451
517 345 1082
517 470 1325
517 598 1489
518 224 1921
518 986 281
518 633 681
518 458 547
519 123 842
519 615 1630
519 309 485
519 763 1357
520 1 807
520 82 870
520 484 1029
520 731 417
521 871 849
521 953 1379
521 164 884
521 797 1658
522 284 831
522 636 667
522 2 1377
522 554 1778
523 970 1061
523 260 1216
523 537 911
523 46 1314
524 141 871
524 335 1273
524 637 1523
524 9 705
525 3 1270
525 59 1112
525 58 1893
525 163 1872
526 311 876
526 142 590
526 366 288
526 372 1122
527 460 593
527 924 1720
527 150 1480
527 279 1711
528 31 1192
528 145 1441
528 595 322
528 751 1753
529 995 1438
529 79 1165
529 30 1464
529 198 1179
530 661 1629
530 700 726
530 900 826
530 794 841
531 542 1565
531 853 1743
531 223 961
531 240 953
532 366 501
532 855 865
532 561 809
532 943 478
533 926 590
533 33 1051
533 712 1290
533 999 719
534 828 596
534 309 466
534 347 1269
534 911 450
535 617 1099
535 411 1386
535 508 1930
535 931 1254
