undirected weighted
111 9537 6489
111 5031 11094
111 3198 16989
111 9492 17345
112 6799 3326
112 2283 7151
112 1292 3299
112 6741 5197
113 6067 6412
113 1515 10323
113 909 14186
113 9967 3821
114 2400 18279
114 2879 20616
114 4386 2070
114 3660 5686
115 6854 18168
115 6836 17769
115 3075 18512
115 5690 9171
116 648 14935
116 8179 14376
116 9123 12838
116 2089 11281
117 8308 11530
117 2374 8687
117 1975 15531
117 8546 16594
118 1825 5401
118 9197 12925
118 9578 14963
118 5075 13058
119 2814 10994
119 7689 14530
119 5819 16704
119 9813 8766
120 962 6210
120 3680 20684
120 2772 14001
120 5327 8232
121 8728 11805
121 9735 18675
121 7708 6737
121 1704 6477
122 4421 7442
122 6245 8265
122 8666 11550
122 7544 5353
123 5460 3939
123 3833 5828
123 402 15107
123 7069 14972
124 8937 6898
124 6253 13825
124 1 7438
124 2467 11265
125 6181 7706
125 8611 9372
125 6628 11854
125 9962 18278
126 6024 20034
126 570 3123
126 9544 16945
126 829 11190
127 19 16658
127 6021 10621
127 3807 6131
127 7968 4401
128 754 17032
128 5997 10850
128 5240 15737
128 3982 606
129 9979 14430
129 8557 16262
129 9163 13656
129 1130 8725
130 2217 7328
130 3813 18632
130 2417 7719
130 522 6136
131 8143 13866
131 9964 4673
131 4040 7491
131 6608 5644
132 2045 15334
132 8594 8904
132 8313 6045
132 6396 5587
133 2315 10221
133 4787 15913
133 9272 14922
133 9584 4499
134 9229 14939
134 3267 7598
134 5492 14876
134 6688 11043
135 4936 16305
135 487 1069
135 8245 16757
135 7728 15128
136 4126 14505
136 1519 1067
136 4900 15326
136 2017 8758
137 6013 10770
137 7117 12816
137 7985 11495
137 4137 6667
138 3477 14229
138 8819 16319
138 3677 17743
138 3499 9767
139 9141 5120
139 9602 20975
139 958 3081
139 3834 13405
140 7878 3127
140 5118 16141
140 1383 2545
140 7780 10102
141 625 15274
141 6630 6617
141 8457 1214
141 5290 17213
142 1996 5941
142 1438 15012
142 6763 2532
142 8637 14836
143 2975 9017
143 9341 7378
143 866 9568
143 6092 10274
144 3456 9508
144 9495 8983
144 6345 12660
144 5676 16076
145 9964 15444
145 8700 20440
145 4753 19250
145 6936 23325
146 8640 12583
146 1807 17750
146 270 11353
146 5591 8134
147 6644 3255
147 8244 15902
147 3458 15557
147 9360 5516
148 3574 16802
148 1380 16999
148 2850 9105
148 5181 15771
149 538 17168
149 3799 10728
149 786 7025
149 8555 18433
150 3648 14119
150 6666 18784
150 7830 5342
150 9883 3383
151 8251 2803
151 7772 9104
151 1599 9114
151 1426 5666
152 3940 14207
152 1937 12620
152 2524 7794
152 8782 7128
153 5217 4096
153 4399 5576
153 5937 10238
153 1733 11765
154 2421 11108
154 7707 8692
154 7321 14625
154 4913 11137
155 1230 7559
155 3174 12506
155 4012 1553
155 42 6818
156 3806 6447
156 3598 17478
156 4550 13637
156 4525 1677
157 2082 4999
157 2513 6063
157 7852 6977
157 4621 8019
158 9446 16796
158 548 9114
158 8292 11760
158 7536 13671
159 9921 19867
159 5984 8086
159 3821 18452
159 921 14264
160 3930 8249
160 3263 8926
160 7072 1462
160 5810 14318
161 9741 18282
161 1269 5007
161 6796 1979
161 475 9516
162 9788 7760
162 3514 12774
162 8710 19551
162 364 7678
163 1490 12297
163 3743 6597
163 2244 18595
163 4047 14362
164 1974 20670
164 28 16180
164 4417 19188
164 2275 10951
165 5987 10618
165 1570 14190
165 4296 1533
165 2974 14219
166 8737 9021
166 7428 13056
166 1597 8191
166 3369 7063
167 2068 5599
167 1114 15174
167 359 12229
167 9307 9404
168 5936 5714
168 6897 9144
168 6786 13058
168 3369 15219
169 9691 13745
169 2615 17323
169 1983 5310
169 9095 4968
170 2211 16927
170 5110 3076
170 9919 14689
170 7217 16453
171 2185 10204
171 475 11161
171 6947 841
171 1869 14010
172 3656 6473
172 5020 10977
172 8699 7942
172 6612 8603
173 1280 15869
173 688 18353
173 5768 18816
173 2132 6346
174 4554 9664
174 8183 10456
174 3714 7779
174 4494 6909
175 4269 14349
175 3218 9465
175 1446 10929
175 7572 10151
176 6977 15251
176 3271 6084
176 5289 15696
176 5232 8302
177 1147 9969
177 2842 10788
177 386 4743
177 207 4710
178 3122 22781
178 8420 8325
178 7636 2167
178 8488 18969
179 5505 7304
179 6367 1610
179 828 11907
179 5928 12046
180 9055 6766
180 1001 17143
180 6019 7581
180 4536 4642
181 8303 6999
181 1442 8940
181 3756 9425
181 9597 6660
182 9528 4448
182 4882 13396
182 8771 6791
182 9233 10693
183 7028 20916
183 3827 13017
183 448 19747
183 8554 14324
184 8305 18988
184 1610 13267
184 9715 13355
184 5310 11464
185 4373 23826
185 7662 17691
185 2129 18338
185 4221 9335
186 497 11086
186 1963 9400
186 7711 10923
186 4193 14057
187 3070 10778
187 5462 4531
187 8674 13816
187 5523 6933
188 9820 12603
188 9089 18270
188 3496 10442
188 1070 7459
189 9110 12720
189 1590 3944
189 6770 5429
189 2351 8689
190 2751 5549
190 1559 11502
190 639 12671
190 318 10977
191 697 17533
191 9229 6859
191 7733 10404
191 9551 19113
192 8654 15396
192 9837 9466
192 7535 14737
192 3660 11764
193 9142 15303
193 1772 13006
193 9796 12333
193 3992 15920
194 2697 7535
194 8910 9246
194 460 12504
194 5326 11314
195 3699 23896
195 1919 9400
195 393 13010
195 5817 10849
196 5817 11321
196 7128 12265
196 1106 11286
196 2983 14621
197 9807 6184
197 2674 16811
197 3297 10102
197 9381 19023
198 9348 8881
198 9358 21263
198 8234 2331
198 9183 17096
199 3354 5152
199 4645 18424
199 7016 9920
199 7050 18519
200 2089 4342
200 5376 5310
200 7749 4929
200 7593 8883
201 5921 19297
201 5019 15020
201 9131 18372
201 5787 5587
202 2619 14582
202 4055 14268
202 1307 18790
202 1278 12132
203 9743 15097
203 160 14612
203 6329 14522
203 920 10880
204 6038 9496
204 7300 21468
204 3288 21194
204 130 20628
205 5662 10193
205 2427 7485
205 8936 16312
205 2932 13273
206 1571 1817
206 6430 24410
206 9229 10158
206 3788 10671
207 3367 3508
207 7184 7560
207 2484 7987
207 6930 9790
208 2817 16555
208 7841 11582
208 139 5868
208 1822 16139
209 9641 4664
209 4726 12120
209 3752 9255
209 3681 8671
210 8660 12005
210 8340 1404
210 4400 9970
210 6445 8059
211 5294 2095
211 2636 5887
211 4711 7893
211 4333 6329
212 7967 6672
212 9582 16373
212 6402 16712
212 7235 1556
213 1989 2357
213 6026 2565
213 8692 14416
213 3573 11689
214 7667 11137
214 964 13916
214 8073 13965
214 1684 12162
215 1460 8059
215 2847 18667
215 659 12527
215 2814 6690
216 4351 10636
216 1789 12957
216 9902 18964
216 4599 12680
217 5023 6565
217 8190 7313
217 9256 5943
217 9444 17211
218 2851 10111
218 8948 17546
218 4632 6246
218 5421 5812
219 1561 6755
219 4239 19400
219 7611 18826
219 2523 15020
220 9917 10948
220 659 5723
220 287 7532
220 769 7007
221 4294 11398
221 6607 15335
221 366 9911
221 9462 7941
222 782 12154
222 5030 5491
222 7663 3917
222 6901 15108
223 8080 12565
223 9369 7490
223 5160 9572
223 6922 4880
224 6584 11193
224 2013 3390
224 4048 3329
224 113 14477
225 4993 10322
225 6840 3552
225 8143 8341
225 9403 9898
226 4557 4889
226 4227 9388
226 3313 9128
226 6619 11856
227 9059 8773
227 1576 21297
227 2007 16708
227 9055 16987
228 2657 4272
228 1424 646
228 2087 17187
228 166 4209
229 4227 14525
229 2000 6929
229 8825 8883
229 2329 2023
230 3568 14602
230 5846 9356
230 5115 618
230 5802 6061
231 8520 16753
231 7268 11969
231 8346 3087
231 2672 15391
232 4328 12748
232 323 15283
232 5311 6460
232 365 13767
233 3061 8189
233 184 894
233 285 11968
233 6130 14182
234 8305 14902
234 1318 8536
234 5840 3289
234 1614 11581
235 3754 5408
235 5635 11298
235 2555 11892
235 7046 13508
236 1572 8568
236 8228 7469
236 8352 13348
236 779 820
237 7014 7413
237 1759 10405
237 3268 14003
237 8703 14420
238 1959 7782
238 5454 4639
238 6187 4558
238 2798 19251
239 7862 8131
239 7248 16550
239 5593 8213
239 3088 12282
240 9122 4334
240 5812 19997
240 8103 10215
240 7500 5847
241 3387 5385
241 2967 7807
241 4896 14586
241 7380 2641
242 1248 14052
242 9832 3412
242 3608 3976
242 5686 17438
243 6943 9502
243 5664 8530
243 3572 6978
243 4220 9836
244 5306 11259
244 8230 12656
244 5368 11397
244 2570 11139
245 6716 3156
245 7767 8578
245 9065 5434
245 5202 9391
246 2623 8524
246 311 8192
246 7406 5141
246 9769 3504
247 215 10587
247 7613 16862
247 6188 19391
247 6662 18042
248 249 6725
248 5394 10141
248 7334 15594
248 5613 8935
249 2645 17417
249 4226 21505
249 7379 19558
249 363 6159
250 6227 19674
250 8075 13320
250 8298 13683
250 7403 4931
251 2781 12440
251 9567 11468
251 9465 9679
251 4480 18802
252 4897 7314
252 229 12416
252 3813 8619
252 7086 8691
253 5645 15173
253 1063 10419
253 7188 1665
253 8693 4502
254 4458 11893
254 7321 11506
254 7784 9733
254 1226 10413
255 1173 15543
255 3911 14825
255 7006 9219
255 7708 3069
256 7959 5804
256 6153 3810
256 2386 14950
256 2991 14690
257 7101 15242
257 3763 12158
257 7948 7275
257 3113 10895
258 2607 3900
258 9291 3966
258 2540 15720
258 2249 13722
259 6024 20211
259 2632 14080
259 4490 7005
259 661 16290
260 9748 16434
260 2577 8914
260 1781 12498
260 3036 14359
261 2327 13534
261 7462 12616
261 7757 7864
261 164 11462
262 715 10085
262 3578 17117
262 9016 4639
262 6992 9606
263 2128 6664
263 691 15012
263 6209 18280
263 7627 13183
264 6907 7605
264 4303 12792
264 476 12337
264 5032 8201
265 4697 4688
265 1867 3341
265 737 10135
265 3335 13093
266 822 11496
266 4930 6982
266 7090 1135
266 3343 7361
267 6258 20894
267 398 6823
267 3441 15848
267 8711 22594
268 267 2203
268 4879 16722
268 5571 6087
268 3605 15786
269 1114 13368
269 948 11033
269 7564 16047
269 3753 17258
270 4487 14458
270 6373 2224
270 6718 19189
270 9161 7289
271 2398 9053
271 3225 13837
271 9582 5915
271 1169 3029
272 7264 18707
272 4494 13509
272 8512 6781
272 2154 12871
273 965 11521
273 9173 14047
273 3377 9940
273 5561 12004
274 7110 5335
274 2839 12047
274 117 10648
274 5673 8437
275 7931 11176
275 4639 10346
275 4791 2836
275 2555 12890
276 5271 8679
276 2843 17351
276 4275 4061
276 4433 5445
277 5907 3008
277 2342 8685
277 303 5957
277 9625 11348
278 6904 7372
278 1180 10360
278 1034 10260
278 6207 6580
279 917 8184
279 3767 15115
279 8229 11840
279 3563 16348
280 31 7176
280 6294 8795
280 9670 10011
280 1960 332
281 5869 12361
281 5325 8451
281 7931 8680
281 7984 7209
282 4861 7993
282 2614 10822
282 6014 18877
282 1605 9282
283 2973 4301
283 9058 19110
283 8395 12976
283 1519 9948
284 3618 10179
284 3895 5513
284 8073 7727
284 9187 5632
285 1906 7331
285 4620 5862
285 1832 11500
285 2667 17269
286 1717 9883
286 4644 14118
286 7498 3751
286 342 11544
287 3976 10290
287 4913 12584
287 1725 3472
287 2833 8438
288 394 21303
288 7544 11576
288 4942 15609
288 9582 19478
289 3800 10151
289 1311 2634
289 2907 18990
289 6109 10286
290 4922 12617
290 4806 13233
290 6919 3470
290 3624 9136
291 320 8666
291 5164 4074
291 1588 10647
291 10000 8642
292 1730 9420
292 3195 3138
292 5850 6941
292 6664 14784
293 9162 9843
293 9750 4084
293 5232 14958
293 9861 5799
294 1279 9360
294 4837 8145
294 7698 8927
294 5766 9713
295 1736 14306
295 2124 8505
295 9757 18674
295 6002 6922
296 7936 9965
296 3151 5795
296 517 2125
296 1046 9066
297 5840 6529
297 9742 14866
297 9969 13739
297 5045 4496
298 309 15719
298 4314 12742
298 800 13971
298 3081 19183
299 1699 3511
299 4292 13846
299 1924 8375
299 579 8708
300 5004 6426
300 8815 9898
300 3816 7060
300 1687 11217
301 6858 3064
301 8923 9094
301 2781 13983
301 5554 22818
302 8677 8470
302 8050 9218
302 6482 7776
302 1480 1282
303 8611 3802
303 5135 6497
303 9654 12101
303 8534 5097
304 6481 14875
304 198 4188
304 7773 462
304 2222 10576
305 4838 5785
305 3865 13220
305 6162 3132
305 3488 19049
306 589 8554
306 2287 9357
306 5425 7799
306 809 8268
307 8843 16820
307 5669 5771
307 2351 15173
307 6336 16168
308 44 8606
308 9329 6788
308 4074 9886
308 1658 13487
309 6789 8636
309 8217 10229
309 8075 14918
309 1050 14549
310 6063 917
310 3049 6552
310 7944 15732
310 2261 13862
311 1037 11296
311 8964 10272
311 8584 15786
311 9582 14311
312 8687 16427
312 1105 11619
312 880 15459
312 4121 3617
313 9185 11340
313 390 14913
313 1895 18602
313 7774 16425
314 272 5762
314 1782 17007
314 7578 12446
314 6430 1028
315 9592 14944
315 518 13477
315 8887 17380
315 311 13041
316 6616 3306
316 9479 14034
316 6323 5939
316 1957 9478
317 9098 16314
317 3218 17662
317 8531 12774
317 9921 19616
318 5643 15188
318 1859 6811
318 3224 5173
318 2699 19086
319 9989 15439
319 6929 12587
319 1272 13870
319 8640 17718
320 1294 7979
320 5849 5995
320 4127 14769
320 5687 5880
321 1304 9383
321 2315 13697
321 5256 9182
321 7274 15868
322 4280 20121
322 198 9937
322 8928 5331
322 5079 9156
323 2147 16694
323 9225 6429
323 7417 10029
323 4218 13775
324 5027 4320
324 7812 7019
324 335 6910
324 6244 8468
325 1495 11525
325 7066 8166
325 1232 2844
325 8659 8541
326 2533 13447
326 4066 14394
326 9142 5534
326 2796 5724
327 301 17551
327 3073 2449
327 9436 4324
327 9575 6674
328 7933 9021
328 8674 9884
328 4710 8520
328 9778 3337
329 4536 6229
329 5259 5401
329 5003 6949
329 5205 3993
330 5078 5517
330 2952 17862
330 9840 15116
330 2789 16912
331 4175 12192
331 6576 8426
331 1375 9658
331 4597 8249
332 3036 5909
332 9990 4186
332 4215 11676
332 9661 11153
333 2439 12434
333 9627 13186
333 3284 18381
333 9767 10636
334 2285 6064
334 8926 3779
334 7283 1394
334 3283 2974
335 7962 4371
335 8636 5899
335 8364 13585
335 3446 18730
336 1986 15547
336 4826 8192
336 8110 15579
336 382 10625
337 9044 7755
337 1115 8223
337 5697 4913
337 4153 5381
338 70 15174
338 7535 7930
338 5379 14186
338 8893 3286
339 9469 4823
339 785 9952
339 7991 6297
339 2366 12622
340 3445 12390
340 1578 9267
340 8640 19906
340 1580 11593
341 3330 3836
341 7041 5698
341 730 9905
341 2282 5690
342 1203 12459
342 9361 4436
342 6661 4983
342 2695 11719
343 744 4855
343 2962 6322
343 6772 18757
343 9137 11471
344 2335 3510
344 1284 8786
344 2970 7535
344 950 13079
345 6578 14430
345 1881 11317
345 5768 17346
345 3871 4784
346 2924 19073
346 1015 18989
346 5900 11234
346 513 15473
347 602 8948
347 9709 13548
347 5320 8608
347 143 10596
348 2063 5014
348 3493 12659
348 6080 12119
348 298 8768
349 7621 10489
349 4212 6954
349 207 15911
349 9651 17513
350 2664 5372
350 574 8064
350 9431 12966
350 1917 8327
351 2802 12254
351 1235 10416
351 2119 6921
351 7370 15408
352 4828 9798
352 3793 15379
352 7783 16730
352 5759 4826
353 9310 5996
353 1140 15709
353 4352 6695
353 5212 8458
354 8622 6943
354 1876 5316
354 3000 20851
354 6291 10739
355 7014 13244
355 1773 10765
355 5966 11963
355 3512 10556
356 529 3578
356 2887 11605
356 2800 11258
356 2699 11352
357 81 18379
357 2658 9942
357 6765 7594
357 3516 10776
358 9247 7886
358 2664 10490
358 9916 17263
358 821 15255
359 5498 10885
359 3066 15276
359 6704 2002
359 3195 9750
360 4879 13111
360 3738 15355
360 4373 16715
360 628 18016
361 6642 6147
361 9234 11237
361 1653 16748
361 8988 14494
362 7281 3159
362 2854 15583
362 7736 15246
362 9659 10263
363 9782 9053
363 5172 11331
363 6300 10563
363 8335 2508
364 7495 5014
364 105 10878
364 7607 10550
364 4102 11583
365 4169 19252
365 4016 12394
365 5736 19557
365 5397 6605
366 8515 6674
366 4358 2476
366 7008 11093
366 7638 8313
367 4007 4783
367 9470 13375
367 9829 5481
367 8727 925
368 7085 13618
368 203 3250
368 1810 12984
368 1857 13305
369 2089 9385
369 2404 12192
369 2554 5709
369 8954 19706
370 3918 6726
370 7145 1240
370 3130 6472
370 5220 4489
371 8872 7496
371 706 10177
371 4866 10828
371 8185 11547
372 6724 18571
372 4059 13422
372 3396 9763
372 622 12147
373 5898 11846
373 6367 14175
373 8615 7945
373 9901 10869
374 2558 13186
374 3439 1423
374 3774 7488
374 8637 10119
375 6809 13154
375 1891 8077
375 6125 6364
375 5453 16357
376 2876 9541
376 2994 7312
376 787 4940
376 8292 13271
377 7095 9228
377 4849 18816
377 7800 17121
377 6187 6856
378 6441 18212
378 8499 16140
378 815 16280
378 7356 14424
379 65 10792
379 6919 4256
379 4689 13648
379 2923 12261
380 4529 9762
380 2363 6424
380 7732 9459
380 7612 6094
381 6328 15390
381 3654 14008
381 4480 11096
381 9043 5139
382 9061 7575
382 6812 11796
382 5330 16027
382 3489 12504
383 6258 17345
383 4729 10401
383 3433 11360
383 5344 3296
384 3196 12711
384 6667 20998
384 4722 6790
384 5142 17208
385 4634 12508
385 2889 9575
385 5931 8963
385 5912 10828
386 2601 12314
386 1116 4884
386 6113 7574
386 7800 13016
387 1329 14674
387 5868 13356
387 843 9626
387 576 2727
388 8578 9677
388 368 15952
388 5886 8158
388 8082 13483
389 5292 7159
389 1569 1758
389 4828 3727
389 5410 3168
390 9500 7526
390 3141 15930
390 9006 15701
390 9954 7891
391 2142 13998
391 7991 3787
391 6816 5973
391 86 10154
392 1554 1603
392 4789 12452
392 7274 16085
392 9807 1361
393 8470 7047
393 2137 8718
393 3066 12099
393 8108 8688
394 9609 11440
394 5768 18320
394 4450 16906
394 3816 5464
395 4732 6762
395 5585 2792
395 5102 1898
395 6831 1059
396 6990 11943
396 4916 18773
396 2617 8559
396 980 3864
397 8588 13896
397 7683 14244
397 1363 16543
397 4498 14254
398 2010 11011
398 4995 14877
398 249 13635
398 2118 7018
399 3230 13866
399 4200 17930
399 7165 16273
399 8188 20429
400 7015 16429
400 3068 7065
400 9394 4540
400 5144 16699
401 639 5554
401 4777 5411
401 957 9525
401 6924 7286
402 1433 8469
402 6372 10267
402 6486 11816
402 6255 6864
403 4464 11377
403 5259 4419
403 1818 8884
403 1841 7188
404 1649 19236
404 602 5869
404 6743 16421
404 1889 16790
405 527 9338
405 2106 5567
405 830 5150
405 3510 2765
406 6041 9241
406 8906 10193
406 5130 12602
406 7079 15915
407 4679 2896
407 3414 8228
407 5073 12081
407 1169 7221
408 548 16101
408 9884 23721
408 2472 3237
408 1485 21785
409 3796 10522
409 350 6415
409 4763 1795
409 8630 5960
410 1560 14954
410 4763 6224
410 749 5597
410 6524 13738
411 6221 12890
411 8272 9272
411 6778 12030
411 4662 12053
412 5546 13368
412 4233 14581
412 3718 3875
412 9640 12319
413 4882 9618
413 3145 10343
413 1598 5763
413 9461 7123
414 6594 5758
414 5104 17321
414 6692 12748
414 2867 10716
415 8842 13473
415 2205 19723
415 6386 18325
415 2852 14945
416 6209 14727
416 9342 15707
416 8321 3184
416 392 3022
417 2629 2675
417 5297 15479
417 5372 15883
417 1641 3136
418 5228 1407
418 6623 6103
418 1888 9970
418 9466 11155
419 3958 3615
419 8756 15351
419 9288 2422
419 5571 13671
420 7736 18443
420 4718 3893
420 2200 9267
420 3797 10295
421 5348 2389
421 678 10838
421 3541 8570
421 1841 6384
422 338 1710
422 9371 13606
422 5245 13884
422 7271 9606
423 3228 5295
423 4109 15040
423 1350 19432
423 3322 14274
424 7790 17062
424 2626 9008
424 3182 8214
424 6203 10769
425 4467 17949
425 7265 4463
425 1793 14474
425 2004 13423
426 2788 11922
426 8331 4952
426 9007 9336
426 7844 16358
427 4710 12874
427 4227 4830
427 7916 1669
427 7559 7606
428 8984 2398
428 4695 13792
428 5246 12122
428 6962 8948
429 7456 18032
429 7351 13465
429 3224 17456
429 8612 20005
430 9099 17027
430 8947 13529
430 5515 10372
430 878 10837
431 6877 13534
431 3188 22122
431 621 21442
431 8400 7443
432 7547 10776
432 5096 10242
432 3751 16369
432 324 7367
433 2128 7869
433 2889 12629
433 7977 16722
433 4560 11297
434 6717 19890
434 8606 16284
434 685 2825
434 1158 9857
435 884 17516
435 2774 3640
435 3415 8329
435 9953 3946
436 5812 18691
436 5666 6517
436 6867 9634
436 9659 10831
437 2854 12538
437 6135 11484
437 9597 10413
437 9562 8974
438 1117 1965
438 2349 5710
438 7642 3151
438 9242 12379
439 7745 5144
439 3815 19356
439 2184 14906
439 6369 8854
440 9805 17212
440 17 16733
440 4794 9985
440 2294 16801
441 8193 22064
441 9506 13229
441 2545 12426
441 508 8599
442 6064 12894
442 2129 20796
442 6798 22689
442 5304 17439
443 4596 9906
443 4874 8153
443 3083 14423
