directed weighted
33 489 47
33 490 42
33 491 39
33 492 39
33 493 44
33 494 44
33 495 44
33 496 40
34 497 -30
34 498 31
34 499 34
34 500 37
34 501 31
34 502 37
34 503 34
34 504 37
34 505 37
34 506 31
34 507 36
34 508 33
34 509 33
34 510 33
34 511 38
35 512 -36
35 513 44
35 514 41
35 515 41
35 516 44
35 517 38
35 518 39
35 519 42
35 520 41
35 521 41
35 522 46
35 523 40
35 524 43
35 525 40
35 526 43
36 527 -7
36 528 9
36 529 10
36 530 9
36 531 9
36 532 9
36 533 8
36 534 15
36 535 9
36 536 13
36 537 12
36 538 11
36 539 14
36 540 11
36 541 12
37 542 19
37 543 -1
37 544 8
37 545 6
37 546 9
37 547 11
37 548 9
37 549 5
37 550 1
37 551 7
37 552 5
37 553 11
37 554 4
37 555 7
37 556 4
38 557 11
38 558 -9
38 559 10
38 560 19
38 561 12
38 562 16
38 563 14
38 564 13
38 565 17
38 566 9
38 567 9
38 568 11
38 569 14
38 570 15
38 571 15
39 572 27
39 573 -18
39 574 26
39 575 24
39 576 28
39 577 26
39 578 27
39 579 26
39 580 27
39 581 22
39 582 26
39 583 23
39 584 18
39 585 26
39 586 20
40 587 24
40 588 -15
40 589 20
40 590 25
40 591 20
40 592 22
40 593 25
40 594 22
40 595 16
40 596 15
40 597 25
40 598 23
40 599 20
40 600 24
40 601 16
41 602 11
41 603 3
41 604 2
41 605 5
41 606 3
41 607 0
41 608 5
41 609 8
41 610 3
41 611 2
41 612 4
41 613 0
41 614 6
41 615 1
41 616 3
42 617 45
42 618 -33
42 619 37
42 620 38
42 621 43
42 622 33
42 623 38
42 624 37
42 625 41
42 626 41
42 627 41
42 628 35
42 629 39
42 630 36
42 631 35
43 632 3
43 633 6
43 634 1
43 635 2
43 636 0
43 637 5
43 638 4
43 639 7
43 640 7
43 641 5
43 642 6
43 643 10
43 644 6
43 645 2
43 646 10
44 647 -13
44 648 15
44 649 16
44 650 15
44 651 22
44 652 21
44 653 18
44 654 13
44 655 20
44 656 13
44 657 13
44 658 23
44 659 17
44 660 21
44 661 15
45 662 29
45 663 -23
45 664 30
45 665 29
45 666 33
45 667 29
45 668 31
45 669 24
45 670 33
45 671 27
45 672 24
45 673 33
45 674 25
45 675 27
45 676 33
46 677 -1
46 678 9
46 679 3
46 680 8
46 681 9
46 682 6
46 683 4
46 684 6
46 685 5
46 686 3
46 687 11
46 688 5
46 689 8
46 690 8
46 691 11
47 692 7
47 693 2
47 694 8
47 695 1
47 696 0
47 697 10
47 698 6
47 699 2
47 700 8
47 701 2
47 702 6
47 703 5
47 704 7
47 705 1
47 706 0
48 707 25
48 708 25
48 709 24
48 710 22
48 711 32
48 712 22
48 713 32
48 714 26
48 715 27
48 716 27
48 717 25
48 718 28
48 719 27
48 720 29
48 721 26
49 722 26
49 723 25
49 724 11
49 725 7
49 726 2
49 727 -1
49 728 6
49 729 3
49 730 3
49 731 8
49 732 3
49 733 6
49 734 3
49 735 6
49 736 1
50 737 -16
50 738 18
50 739 17
50 740 26
50 741 16
50 742 17
50 743 17
50 744 17
50 745 23
50 746 23
50 747 26
50 748 16
50 749 20
50 750 20
50 751 24
51 752 -5
51 753 5
51 754 7
51 755 11
51 756 7
51 757 11
51 758 15
51 759 13
51 760 10
51 761 15
51 762 11
51 763 8
51 764 13
51 765 10
51 766 14
52 767 -14
52 768 20
52 769 18
52 770 18
52 771 15
52 772 14
52 773 21
52 774 19
52 775 21
52 776 15
52 777 20
52 778 20
52 779 24
52 780 17
52 781 23
53 782 15
53 783 1
53 784 5
53 785 9
53 786 3
53 787 0
53 788 4
53 789 7
53 790 4
53 791 4
53 792 0
53 793 10
53 794 4
53 795 9
53 796 7
54 797 -4
54 798 10
54 799 13
54 800 4
54 801 8
54 802 10
54 803 10
54 804 14
54 805 11
54 806 14
54 807 8
54 808 4
54 809 14
54 810 10
54 811 14
55 812 28
55 813 -15
55 814 25
55 815 16
55 816 15
55 817 17
55 818 20
55 819 17
55 820 23
55 821 15
55 822 24
55 823 17
55 824 19
55 825 24
55 826 16
56 827 25
56 828 -25
56 829 26
56 830 30
56 831 30
56 832 27
56 833 35
56 834 35
56 835 31
56 836 29
56 837 31
56 838 29
56 839 27
56 840 26
56 841 35
57 842 -20
57 843 23
57 844 27
57 845 24
57 846 28
57 847 25
57 848 29
57 849 26
57 850 22
57 851 22
57 852 27
57 853 20
57 854 30
57 855 25
57 856 24
58 857 -16
58 858 24
58 859 23
58 860 18
58 861 23
58 862 25
58 863 26
58 864 24
58 865 19
58 866 22
58 867 18
58 868 22
58 869 22
58 870 23
58 871 19
59 872 3
59 873 -3
59 874 7
59 875 5
59 876 8
59 877 5
59 878 4
59 879 6
59 880 13
59 881 6
59 882 7
59 883 7
59 884 5
59 885 13
59 886 9
60 887 -16
60 888 18
60 889 23
60 890 16
60 891 19
60 892 21
60 893 26
60 894 23
60 895 17
60 896 24
60 897 18
60 898 26
60 899 18
60 900 19
60 901 18
61 902 -15
61 903 21
61 904 18
61 905 21
61 906 20
61 907 18
61 908 25
61 909 16
61 910 25
61 911 22
61 912 19
61 913 16
61 914 15
61 915 20
61 916 17
62 917 -4
62 918 12
62 919 14
62 920 6
62 921 12
62 922 12
62 923 11
62 924 6
62 925 14
62 926 13
62 927 14
62 928 13
62 929 12
62 930 4
62 931 14
63 932 3
63 933 13
63 934 12
63 935 11
63 936 7
63 937 11
63 938 4
63 939 10
63 940 10
63 941 12
63 942 7
63 943 10
63 944 5
63 945 4
63 946 10
64 947 1
64 948 8
64 949 0
64 950 2
64 951 9
64 952 5
64 953 0
64 954 3
64 955 4
64 956 3
64 957 10
64 958 4
64 959 0
64 960 2
64 961 8
65 962 5
65 963 -4
65 964 13
65 965 11
65 966 10
65 967 11
65 968 10
65 969 9
65 970 7
65 971 13
65 972 13
65 973 10
65 974 13
65 975 8
65 976 14
66 977 -1
66 978 11
66 979 10
66 980 5
66 981 3
66 982 2
66 983 9
66 984 11
66 985 4
66 986 10
66 987 6
66 988 9
66 989 10
66 990 3
66 991 4
67 992 6
67 993 3
67 994 2
67 995 4
67 996 5
67 997 -2
67 998 4
67 999 7
67 1000 4
67 1001 4
67 1002 8
67 1003 8
67 1004 2
67 1005 7
67 1006 4
788 696 1
998 642 -4
455 312 3
998 481 13
103 798 3
25 219 10
942 788 4
248 445 1
370 707 -3
423 255 19
148 807 -2
863 866 8
671 62 12
146 749 4
450 506 -9
865 456 3
687 985 2
85 423 -15
793 656 -1
617 73 -11
233 650 1
346 999 -1
959 242 18
99 129 0
118 816 5
101 167 58
950 45 23
987 606 -2
466 709 -1
484 502 24
382 798 2
849 7 50
149 740 15
481 610 2
635 436 5
24 336 11
940 259 1
38 884 14
190 918 8
376 796 -2
395 435 -1
182 465 0
598 243 15
501 129 5
474 217 3
524 235 1
272 245 -13
621 208 -21
698 830 4
873 877 8
871 43 9
26 190 38
571 993 2
28 538 64
557 664 -6
121 393 -6
864 612 1
2 116 74
245 992 21
585 655 -8
159 712 8
777 274 -20
544 732 4
647 811 16
697 995 -1
931 370 12
696 437 10
78 740 -6
390 704 3
683 328 5
381 594 3
956 754 3
866 264 7
318 853 3
346 542 1
919 933 -5
834 10 19
576 192 3
601 644 -2
25 353 13
209 326 5
42 899 34
267 105 -25
403 634 9
242 821 24
397 500 1
771 365 0
212 560 42
381 998 9
314 633 -3
770 615 1
636 592 8
247 674 -5
632 486 0
937 548 -8
670 250 -3
753 192 -1
751 720 8
268 55 22
815 219 5
374 262 -9
592 617 18
802 200 5
389 815 -2
641 980 5
68 557 7
644 752 11
832 373 -3
849 876 1
733 528 3
648 378 -2
163 837 -3
331 947 8
962 238 2
160 958 -1
446 592 0
108 5 3
461 728 1
613 4 24
726 675 3
304 264 4
92 116 44
731 262 11
584 74 -3
735 453 -6
118 559 -4
387 264 6
217 787 8
1 335 64
669 570 -1
499 112 -13
259 609 8
635 936 6
191 212 44
534 446 1
924 934 3
37 141 10
574 244 9
515 119 11
392 490 17
137 5 24
76 690 -4
416 405 25
237 345 -2
415 253 25
371 679 0
959 207 9
342 273 38
838 713 -24
41 61 19
794 304 2
83 8 18
157 701 2
38 597 17
326 934 0
179 43 10
418 541 8
600 962 7
783 314 7
648 918 3
120 238 2
204 308 -16
547 719 -3
378 191 5
100 691 -4
701 846 3
77 961 40
487 20 61
413 232 -14
838 820 30
993 296 8
524 928 2
972 690 13
931 304 0
891 660 14
56 313 27
141 943 6
1002 104 8
71 954 4
533 212 34
425 114 8
87 456 7
87 854 -2
360 40 19
939 600 -5
287 1 69
966 194 -6
129 394 33
693 305 5
475 45 30
350 10 21
211 26 42
492 63 10
132 587 13
532 651 5
573 820 26
658 580 5
705 586 5
213 289 -2
700 317 -4
468 109 3
942 246 5
296 653 4
246 170 -2
114 725 0
574 242 28
275 505 13
144 382 1
411 597 -3
803 315 3
682 143 1
775 962 4
327 667 9
952 210 -2
446 400 3
475 529 10
368 73 17
379 777 23
471 400 -3
588 610 16
881 8 22
859 448 0
687 849 7
450 109 17
244 559 7
417 302 25
98 812 -17
406 124 -7
436 204 17
121 609 10
237 647 22
113 944 -3
909 133 0
697 964 6
502 876 -1
324 9 12
294 687 6
854 335 9
81 701 4
167 614 67
239 745 -5
854 792 2
987 961 11
44 826 13
449 100 11
906 85 20
549 497 35
386 774 -14
218 263 7
813 408 19
612 304 6
178 632 10
982 808 7
252 279 -14
775 592 4
34 892 34
5 845 12
550 164 -1
615 848 1
492 946 -9
607 115 3
604 848 2
839 611 5
515 604 8
868 496 19
912 562 -13
791 265 -2
672 991 6
51 328 8
185 317 14
993 858 4
141 381 3
634 326 2
851 95 18
759 571 6
845 267 29
497 894 32
751 506 18
689 866 7
949 897 1
956 20 66
730 812 20
427 486 2
305 915 -2
908 160 6
629 622 8
35 921 36
146 49 7
338 515 6
348 918 9
379 232 15
836 868 0
321 791 8
992 764 1
418 198 3
819 107 20
679 465 4
554 926 3
160 563 10
375 348 7
85 797 25
74 415 12
626 86 32
544 646 5
311 359 -3
116 741 -6
237 305 7
42 811 37
54 833 9
137 377 39
214 647 17
396 400 8
554 400 6
164 588 16
631 856 18
370 858 8
533 157 1
815 37 2
670 728 5
671 483 9
735 566 15
235 348 4
614 545 -3
857 489 21
123 145 16
799 79 3
36 754 15
360 106 1
517 99 8
874 760 -3
263 768 -2
613 162 6
843 194 16
359 557 13
635 804 0
984 792 8
804 482 7
734 611 2
846 706 4
223 954 -2
468 913 7
115 936 4
541 36 10
586 963 4
658 707 8
651 28 68
349 481 -1
147 448 0
54 343 11
503 674 5
377 797 43
231 151 -14
921 984 -5
295 627 30
215 311 13
367 406 15
481 897 1
181 599 15
207 741 13
167 951 59
265 332 8
214 659 9
65 912 13
24 338 7
753 47 2
589 311 6
201 759 -4
985 771 7
207 874 5
701 724 -2
38 986 14
508 895 7
847 821 8
73 166 20
246 934 3
565 701 12
76 324 12
192 446 3
751 738 8
816 184 2
306 646 -5
374 335 13
850 374 12
432 144 6
639 93 6
794 1003 6
558 203 9
474 497 39
869 485 21
358 804 8
927 326 2
537 968 -6
15 281 36
926 829 0
850 517 -6
714 784 0
646 276 15
606 32 5
129 190 0
243 15 39
938 43 7
532 257 40
254 670 10
733 127 1
135 298 10
77 973 33
544 166 0
334 166 1
140 775 0
376 331 7
10 266 25
744 862 -14
280 246 2
659 67 2
185 715 8
791 506 16
735 581 12
910 350 1
409 468 0
806 238 -1
57 994 25
719 413 14
57 949 28
949 719 5
231 973 19
990 26 44
468 582 8
301 658 4
33 626 40
256 352 -7
772 906 -11
742 466 3
566 356 -7
699 313 -2
270 287 63
357 892 6
168 907 -10
339 759 6
149 639 -2
332 594 7
121 1001 16
562 261 15
735 837 15
235 854 10
831 101 6
468 616 10
473 930 3
536 260 -11
770 832 10
376 139 6
685 346 9
665 543 5
522 842 25
516 250 9
703 329 5
61 92 46
559 923 4
611 709 5
3 1004 46
542 816 6
972 795 -7
295 320 2
372 999 11
307 819 17
310 553 -5
18 798 42
992 399 2
148 529 5
938 435 10
140 969 9
152 560 77
450 431 10
687 522 7
623 66 1
950 279 17
222 851 17
260 193 21
441 481 8
983 213 3
42 885 43
872 839 -2
327 946 18
712 163 10
321 201 5
319 417 6
881 878 2
689 161 -4
891 204 25
539 203 0
861 880 2
945 477 3
8 95 23
21 756 29
10 516 25
779 767 17
396 57 21
433 425 -2
667 484 -6
695 985 9
456 737 26
519 551 2
831 117 6
357 391 -4
595 204 19
887 631 23
881 312 6
167 205 63
788 458 5
230 556 -2
991 133 3
823 68 -5
434 511 -20
435 936 2
258 246 6
528 107 21
336 670 10
408 519 8
987 734 12
71 366 2
963 66 13
98 333 24
710 187 14
753 107 14
691 206 4
530 772 21
13 314 15
690 592 13
615 43 6
675 346 6
203 289 2
774 412 16
192 813 21
849 292 0
933 806 15
764 772 21
883 787 3
74 835 13
900 852 12
324 163 6
906 779 15
773 909 0
681 667 11
75 554 -3
28 830 69
56 432 29
11 605 77
818 515 4
701 280 7
17 80 20
473 369 -2
120 132 -2
310 155 9
553 371 5
172 267 35
478 33 40
110 487 11
9 450 10
184 140 2
126 444 2
221 41 1
961 267 34
200 715 4
486 817 10
475 98 25
183 106 13
778 500 8
580 207 -5
306 40 18
917 423 22
39 241 22
303 638 -3
361 50 22
706 945 0
535 912 19
177 740 9
509 123 14
115 9 17
485 597 9
280 100 11
376 799 5
582 345 11
730 993 7
389 423 24
447 238 4
185 100 10
153 716 0
687 679 2
1000 103 -3
95 373 9
372 333 -5
453 418 13
172 941 1
204 745 17
730 313 9
599 295 1
617 381 19
647 846 17
545 823 9
780 37 8
765 399 -1
757 992 -1
82 985 4
95 126 7
786 165 6
309 506 16
17 498 26
243 386 17
528 898 1
490 234 -3
593 796 9
736 416 1
794 372 7
977 858 5
480 934 2
801 916 3
493 316 -12
448 549 8
847 172 5
962 199 34
656 952 4
700 76 13
412 713 27
564 264 6
2 350 65
413 411 24
486 936 8
225 920 -6
596 563 -6
981 666 6
366 632 5
47 796 2
691 68 5
806 982 1
632 253 8
445 719 11
972 689 11
955 566 10
190 993 3
189 564 0
848 652 1
169 691 4
998 65 8
668 433 10
520 267 33
298 709 5
61 14 26
575 750 2
429 792 1
90 14 32
500 608 7
237 219 12
508 525 -1
714 133 8
389 570 2
872 901 12
123 722 9
312 1005 -2
349 704 7
411 106 9
270 881 3
131 486 5
417 940 3
965 302 28
797 198 5
766 74 7
535 118 14
200 966 6
856 140 3
229 784 17
189 922 8
33 184 37
65 565 5
239 178 10
705 614 10
910 405 7
852 50 20
710 802 2
310 169 13
508 594 3
374 57 21
412 496 -1
361 183 12
231 264 20
197 219 -4
871 284 -3
192 750 9
758 269 -14
805 343 4
262 337 19
717 809 -7
800 245 21
116 634 14
823 37 15
284 528 5
9 957 15
812 60 20
854 591 6
677 918 11
156 568 -9
205 750 0
106 606 6
652 69 7
611 703 0
307 567 0
365 56 26
245 615 15
475 607 5
439 141 1
878 361 4
150 518 -10
471 297 3
259 1 74
203 560 5
371 7 51
901 276 8
796 848 10
566 415 17
350 686 7
642 670 7
540 259 3
133 320 3
190 870 5
743 831 -5
867 207 14
771 378 6
870 265 11
147 164 11
957 557 10
13 797 9
457 321 -1
638 288 9
553 603 9
846 302 26
688 980 4
739 490 3
402 923 4
851 99 7
805 175 1
663 84 29
723 351 6
1002 787 3
23 219 6
928 319 0
623 490 5
594 733 4
614 784 10
322 132 10
606 286 4
740 750 10
310 298 14
851 143 4
924 676 5
928 354 1
368 534 -1
818 287 61
14 345 30
224 849 1
19 801 40
963 686 7
491 804 9
618 485 40
64 103 8
603 942 2
713 932 31
399 762 5
490 493 21
468 433 2
663 467 29
401 56 32
46 188 10
122 826 -2
437 582 5
225 222 15
340 127 0
379 234 12
682 885 0
698 964 5
259 283 3
594 478 7
346 266 6
439 325 4
87 383 3
628 418 6
260 613 21
950 422 32
402 966 12
966 132 6
458 17 27
409 682 10
616 490 7
330 756 1
707 853 11
956 670 5
109 265 8
115 919 6
762 328 1
403 162 -2
19 381 41
152 735 67
782 336 -1
412 378 9
744 293 16
369 144 11
597 348 9
374 74 9
782 175 11
961 250 5
889 677 5
270 977 9
946 677 17
939 272 22
802 7 50
18 775 48
894 6 33
834 162 8
917 474 5
48 647 24
832 18 46
993 933 13
41 437 5
81 24 8
547 135 9
558 28 62
103 491 12
198 914 -3
399 823 14
764 883 4
609 662 -7
542 373 7
62 619 6
167 279 60
423 731 22
119 772 18
231 14 35
307 783 3
610 324 3
994 590 5
81 668 4
781 854 10
729 14 28
989 388 10
634 393 6
883 23 8
516 89 -9
836 93 7
201 78 8
295 824 -1
80 232 20
111 703 3
564 163 11
131 423 25
821 7 51
29 904 29
403 91 8
418 898 8
232 910 20
140 895 2
49 253 5
561 208 24
394 141 36
288 883 4
769 844 -7
843 192 2
416 60 22
841 608 -2
408 61 20
627 959 9
11 773 75
96 307 5
887 681 18
522 604 -1
681 542 3
170 58 20
21 828 27
767 380 15
555 735 13
440 764 6
173 326 9
43 607 3
821 575 -1
859 874 3
845 421 12
842 5 21
105 157 30
711 784 6
10 545 16
88 204 21
24 345 12
737 805 22
732 588 25
177 4 25
19 978 45
537 170 7
318 620 7
260 581 19
546 56 28
354 140 5
934 149 12
256 758 14
114 71 2
651 509 2
385 358 5
205 13 9
488 908 4
159 452 7
837 24 6
239 253 11
854 110 4
246 185 9
712 251 -6
727 693 6
672 901 -4
531 410 0
505 396 -3
23 177 6
677 209 4
736 487 3
422 47 31
961 230 2
2 925 74
980 168 18
745 971 7
17 677 28
482 730 -1
374 190 12
829 529 7
368 824 11
158 824 11
763 571 4
536 295 19
379 9 13
314 936 9
710 854 9
869 881 8
265 495 5
411 793 9
142 514 -11
928 378 9
997 841 5
355 11 76
378 830 9
54 569 10
341 578 2
985 383 -1
569 962 5
903 37 8
492 602 18
722 773 1
617 33 47
998 445 4
808 163 4
894 237 12
396 809 15
535 683 -1
105 1006 29
27 370 29
263 277 9
814 811 -8
322 762 4
494 611 5
702 757 4
832 694 8
309 173 2
961 105 31
429 121 8
317 784 8
66 327 2
838 780 30
436 164 8
128 818 0
7 350 48
801 241 4
199 782 35
164 896 1
532 584 3
825 882 2
283 205 9
590 606 12
885 796 9
226 232 16
816 888 0
595 474 0
552 793 7
868 124 10
934 769 11
634 338 9
944 264 11
562 854 20
329 46 6
296 256 9
408 334 7
586 923 5
325 203 8
758 861 22
775 19 41
420 802 6
108 751 3
429 343 0
759 300 10
699 151 17
987 341 10
174 641 -3
663 510 33
852 161 10
150 944 14
963 541 6
282 413 22
156 653 15
52 165 19
314 67 9
898 841 6
994 134 3
216 913 3
134 15 40
247 530 5
204 916 20
437 985 10
450 573 21
742 757 2
376 588 24
247 787 10
325 778 3
345 308 17
425 786 4
953 156 11
108 175 9
231 492 22
103 725 11
717 812 19
792 747 9
285 570 4
231 278 16
503 693 0
518 458 11
39 801 26
570 203 9
61 146 21
248 16 8
792 541 8
752 925 15
967 1003 5
637 48 25
294 803 -2
394 728 37
210 337 6
676 168 16
290 182 0
579 15 43
148 664 10
316 350 18
293 587 7
690 745 6
917 873 12
929 58 19
29 652 34
1003 592 0
40 37 19
765 235 9
616 202 3
664 289 9
539 101 6
80 45 23
633 8 21
12 867 64
58 645 20
529 369 7
455 394 34
970 936 2
388 962 4
487 740 7
903 342 -1
668 316 16
664 733 10
893 872 3
993 383 2
911 18 49
115 853 5
856 273 43
421 509 1
136 626 10
368 1003 6
846 546 7
512 148 45
953 1002 0
632 443 1
18 458 43
262 930 15
565 124 10
13 275 15
825 162 3
748 975 6
588 374 24
247 95 15
644 919 7
72 804 9
485 698 -1
340 581 4
569 540 -3
739 154 3
21 879 21
41 719 9
198 797 13
677 447 8
140 934 2
536 130 17
976 302 19
792 743 7
877 443 7
255 303 4
735 112 15
946 593 19
917 188 5
321 547 12
316 551 19
396 421 8
491 861 6
667 417 9
748 174 5
156 728 18
474 541 3
333 893 8
97 253 -1
609 318 17
679 239 7
678 282 4
707 774 14
893 927 8
931 145 10
642 697 10
689 904 13
684 419 4
616 694 -1
675 840 5
774 253 19
674 878 5
961 542 0
56 15 42
465 62 6
428 652 -1
582 456 2
871 581 10
999 281 1
417 525 2
433 494 4
424 483 -3
73 637 13
251 538 13
664 324 9
792 115 3
889 976 0
48 534 24
539 198 3
126 40 17
276 4 30
731 605 1
62 946 14
477 526 4
917 382 14
59 452 6
913 522 8
196 991 -2
113 399 7
909 419 6
236 594 4
729 459 4
708 247 11
804 15 44
742 506 10
178 34 30
663 736 29
828 509 26
990 38 10
479 159 -1
720 311 10
447 535 4
196 436 6
574 287 64
676 311 11
145 232 24
105 842 31
631 405 -7
696 485 4
744 302 26
847 512 44
208 384 30
775 479 1
497 918 37
325 562 16
843 88 3
802 965 7
671 92 51
1004 647 21
526 910 -1
1006 539 7
955 365 8
637 467 10
233 762 8
578 43 4
884 497 38
867 470 2
37 804 1
130 198 11
657 175 4
378 111 5
186 190 2
264 52 15
670 241 13
95 382 0
388 808 -4
69 537 10
846 61 24
877 141 7
90 562 14
913 800 -3
617 668 16
720 797 13
695 585 10
254 287 59
262 147 12
296 371 3
203 370 7
472 84 -9
553 13 17
986 237 6
867 592 5
89 616 10
100 806 6
14 258 28
882 239 5
876 558 9
904 169 -1
869 55 23
700 70 14
818 630 5
448 970 9
180 597 12
362 5 10
800 620 8
730 394 34
323 699 8
65 771 5
925 679 9
715 799 6
805 154 3
860 334 8
380 362 -6
637 339 -1
590 193 5
930 820 7
339 555 1
251 572 14
843 594 3
823 507 9
771 61 18
323 163 13
185 502 1
12 428 59
376 776 2
642 39 23
713 903 34
380 441 14
104 206 6
637 466 11
546 893 -2
22 65 8
179 128 3
577 134 -1
889 321 6
110 238 11
612 136 4
300 765 7
445 167 65
354 286 9
540 344 3
953 218 3
286 92 50
169 613 5
734 16 18
767 736 18
637 636 5
188 529 4
553 388 11
184 837 7
820 408 0
516 827 10
109 878 5
